Filecoin,19,"$43,45m"
Klaytn,52,"$52,25m"
Injective,20,"$56,97m"
Tezos,20,"$59,14m"
Telos,37,"$60,03m"
Metis,57,"$65,02m"
DefiChain,3,"$65,59m"
Kujira,15,"$70,41m"
Karak Network,1,"$75,93m"
Scroll,66,"$78,93m"
Algorand,30,"$89,17m"
ICP,7,"$90,64m"
Manta Atlantic,2,"$92,94m"
Hedera,9,"$95,41m"
MAP Protocol,8,"$102,33m"
Fusion,3,"$102,9m"
zkLink,8,"$103,86m"
EOS,21,"$110,59m"
Fantom,322,"$114,67m"
Celo,49,"$114,86m"
Stacks,10,"$120,88m"
Mixin,10,"$123,94m"
dYdX,2,"$130,73m"
MultiversX,21,"$137,37m"
zkSync Era,107,"$149,56m"
Ronin,4,"$172,26m"
TON,15,"$173,34m"
Osmosis,16,"$174,13m"
Manta,46,"$174,9m"
Rootstock,12,"$182,86m"
Kava,137,"$212,42m"
Starknet,24,"$240,65m"
Linea,84,"$258,76m"
Near,23,"$275,25m"
Cardano,35,"$279,94m"
Gnosis,65,"$287,22m"
Mantle,75,"$287,94m"
Thorchain,3,$329m
Aptos,38,"$341,48m"
PulseChain,39,"$377,42m"
Hyperliquid,2,"$424,36m"
Mode,31,"$469,77m"
Cronos,111,"$504,06m"
Sui,30,"$605,98m"
Optimism,233,"$874,53m"
Polygon,551,"$892,25m"
Avalanche,382,"$900,93m"
Merlin,11,"$1,058b"
Bitcoin,18,"$1,117b"
